0 1 2
0 4 1
6 2 1
6 10 2
12 13 14
13 16 14
13 12 6
12 22 6
24 10 6
27 4 0
27 31 4
6 22 24
14 16 38
16 31 38
42 43 31
43 4 31
31 49 42
31 16 49
10 55 2
57 10 24
57 55 10
27 2 55
27 0 2
31 27 71
12 73 22
24 22 57
22 73 57
73 12 38
12 14 38
71 38 31
71 55 57
71 27 55
57 73 71
73 38 71
77 36 92
91 106 39
91 109 106
65 39 35
65 91 39
77 75 36
37 92 36
75 124 72
119 124 128
119 72 124
132 40 134
59 136 137
136 63 137
35 59 65
59 137 65
40 21 134
40 132 67
25 50 21
95 50 33
50 25 33
90 106 109
90 166 106
166 39 106
39 166 173
166 175 173
37 80 92
180 37 142
37 88 80
37 180 88
75 62 116
75 77 62
75 116 124
96 58 128
96 202 58
202 66 58
202 78 66
63 136 139
136 150 139
136 59 150
15 150 59
15 82 150
132 145 67
203 67 177
145 41 67
41 177 67
181 193 21
193 134 21
50 181 21
95 29 155
29 195 155
29 76 195
76 147 195
175 85 173
85 175 208
142 85 208
142 37 85
128 148 119
128 58 148
78 47 66
78 207 47
51 207 53
51 47 207
15 18 82
135 82 18
135 18 203
18 67 203
33 68 95
68 29 95
76 44 147
44 107 147
53 107 51
107 44 51
197 198 201
197 206 198
211 198 115
211 201 198
196 122 189
196 200 122
123 197 130
130 197 79
79 197 201
201 211 79
199 138 179
138 89 179
115 138 211
138 199 211
143 69 131
69 127 131
125 179 104
79 179 125
199 179 79
79 211 199
186 93 209
186 176 93
174 93 176
196 189 162
191 210 187
210 182 187
182 210 170
162 143 131
93 174 90
200 113 122
113 200 183
154 113 183
154 209 93
197 188 206
168 174 172
168 90 174
183 209 154
123 188 197
162 189 110
139 170 210
69 159 127
126 127 159
126 159 120
210 191 120
89 178 179
172 170 168
170 139 168
120 191 126
179 178 104
110 143 162
162 156 204
183 205 194
160 156 162
149 184 126
172 43 42
172 192 43
42 49 172
49 153 172
192 163 43
176 163 192
186 163 176
186 161 163
156 1 204
1 205 204
1 194 205
183 161 186
183 194 161
49 167 153
153 167 182
182 167 187
167 151 187
160 13 156
160 184 13
184 149 13
187 151 126
151 149 126
43 140 4
43 163 140
156 6 1
140 161 194
4 194 1
4 140 194
16 190 49
190 167 49
13 6 156
149 151 190
13 149 16
149 190 16
140 163 161
151 167 190
205 183 200
174 176 192
172 174 192
162 204 196
204 200 196
204 205 200
186 209 183
127 126 184
153 182 170
153 170 172
131 160 162
131 127 160
127 184 160
126 191 187
87 90 144
74 87 144
188 74 144
154 100 113
111 139 114
111 114 45
111 45 178
159 84 120
90 110 166
152 166 110
88 100 154
87 116 121
87 146 116
88 154 80
175 113 100
152 175 166
152 113 175
80 87 121
80 154 87
64 108 62
64 165 108
116 108 121
116 62 108
87 74 146
96 74 188
185 164 118
185 129 164
164 81 171
164 129 81
150 110 139
110 150 94
120 84 41
101 181 114
181 117 114
145 120 41
84 159 82
150 82 94
82 159 94
101 114 145
114 120 145
193 169 98
169 157 98
101 169 181
169 193 181
117 45 114
178 45 155
56 112 141
112 97 141
171 81 112
81 97 112
109 144 90
80 121 77
121 108 77
108 105 77
165 105 108
64 105 165
139 111 63
134 101 145
134 169 101
134 48 169
169 48 157
157 48 98
206 188 144
60 206 144
60 198 206
60 115 198
115 60 61
96 188 123
130 133 123
130 158 133
123 202 96
123 133 202
158 118 133
158 185 118
129 185 79
81 129 79
111 178 89
111 89 99
89 138 99
138 115 99
61 99 115
104 178 155
104 102 125
102 103 125
155 195 104
195 102 104
102 56 103
56 141 103
79 141 97
79 97 81
79 158 130
125 103 79
87 93 90
87 154 93
122 113 152
110 122 152
110 189 122
185 158 79
139 210 114
210 120 114
94 159 69
94 69 110
69 143 110
79 103 141
90 168 110
110 168 139
88 180 86
180 142 86
83 177 41
83 203 177
175 100 208
100 142 208
100 86 142
135 84 82
135 203 84
203 83 84
92 80 77
60 144 109
60 109 91
61 91 65
61 60 91
77 64 62
77 105 64
116 74 124
128 74 96
128 124 74
133 78 202
133 118 78
118 207 78
118 164 207
53 164 171
53 207 164
134 145 132
63 111 99
137 63 99
65 137 61
137 99 61
193 98 134
98 48 134
50 45 181
155 45 95
45 50 95
195 147 102
147 56 102
147 107 56
107 112 56
171 112 53
112 107 53
100 88 86
83 41 84
116 146 74
45 117 181
17 70 9
17 148 70
70 148 7
32 47 51
32 46 47
9 30 26
30 68 26
34 68 30
51 44 32
44 8 32
28 17 9
39 28 9
35 39 9
58 7 148
58 66 7
66 46 7
66 47 46
9 26 54
9 54 59
9 59 35
68 34 29
34 76 29
34 8 76
8 44 76
52 28 39
59 54 19
28 75 72
28 52 75
25 21 54
21 19 54
17 28 72
39 173 85
85 52 39
37 36 85
52 85 36
17 72 119
25 54 26
18 15 59
59 19 18
18 40 67
40 18 19
33 25 26
36 75 52
19 21 40
17 119 148
68 33 26
70 23 9
9 11 30
70 7 23
11 34 30
20 3 9
23 20 9
7 20 23
7 46 20
3 46 32
3 20 46
9 3 5
9 5 11
11 5 34
5 8 34
32 8 3
8 5 3
