0, 1, 2
3, 4, 5
6, 4, 3
4, 0, 5
4, 13, 14
15, 0, 2
5, 0, 15
21, 15, 2
24, 15, 21
6, 13, 4
30, 31, 21
31, 34, 21
34, 24, 21
39, 1, 0
3, 5, 44
45, 14, 13
5, 15, 50
51, 15, 24
54, 13, 6
57, 31, 30
57, 34, 31
63, 24, 34
66, 2, 1
66, 70, 2
39, 0, 4
39, 4, 14
5, 50, 44
13, 54, 45
30, 21, 70
21, 2, 70
24, 63, 51
57, 63, 34
6, 3, 54
44, 54, 3
45, 103, 14
103, 106, 14
108, 14, 106
111, 14, 108
39, 14, 111
66, 30, 70
66, 121, 30
123, 57, 30
50, 15, 128
51, 128, 15
111, 1, 39
108, 1, 111
66, 1, 108
121, 123, 30
45, 54, 146
103, 45, 149
106, 103, 152
121, 66, 155
57, 123, 158
44, 50, 161
128, 51, 164
165, 51, 63
123, 121, 158
146, 149, 45
174, 108, 106
106, 152, 174
149, 152, 103
183, 155, 66
57, 158, 188
189, 50, 128
189, 161, 50
63, 57, 188
63, 188, 165
165, 164, 51
161, 205, 44
205, 54, 44
205, 146, 54
174, 214, 108
155, 158, 121
66, 108, 221
214, 221, 108
183, 66, 221
189, 128, 230
164, 230, 128
234, 158, 155
221, 214, 239
152, 149, 242
149, 146, 242
205, 161, 248
230, 164, 251
252, 161, 189
174, 152, 257
188, 158, 260
234, 260, 158
264, 155, 183
264, 234, 155
270, 183, 221
221, 239, 270
165, 188, 278
260, 278, 188
282, 146, 205
205, 248, 282
288, 189, 230
164, 165, 293
161, 252, 248
297, 214, 174
174, 257, 297
242, 257, 152
293, 165, 278
239, 214, 297
242, 146, 282
293, 251, 164
252, 189, 288
251, 322, 230
288, 230, 326
322, 326, 230
264, 183, 332
270, 332, 183
336, 293, 278
270, 239, 341
342, 239, 297
345, 242, 282
251, 293, 350
351, 288, 326
260, 234, 356
357, 356, 234
278, 260, 356
278, 356, 336
239, 342, 341
369, 297, 257
369, 342, 297
257, 242, 377
357, 234, 264
282, 248, 383
282, 383, 345
252, 288, 389
351, 389, 288
326, 322, 395
322, 251, 395
399, 264, 332
399, 332, 270
270, 341, 399
389, 248, 252
293, 336, 350
377, 242, 345
389, 383, 248
350, 395, 251
351, 326, 425
425, 326, 428
395, 428, 326
357, 264, 434
399, 434, 264
377, 369, 257
441, 345, 383
395, 350, 446
447, 351, 425
428, 395, 452
434, 399, 455
399, 341, 455
459, 341, 342
462, 342, 369
369, 377, 462
468, 377, 345
468, 462, 377
383, 389, 476
383, 476, 441
480, 425, 428
483, 336, 356
356, 487, 483
447, 389, 351
350, 336, 483
356, 357, 487
498, 357, 434
434, 455, 498
459, 455, 341
342, 462, 459
483, 446, 350
446, 452, 395
447, 425, 480
452, 520, 428
480, 428, 524
520, 524, 428
487, 357, 530
530, 357, 498
441, 468, 345
476, 389, 447
452, 446, 542
543, 447, 480
520, 452, 548
549, 480, 524
455, 459, 554
498, 455, 554
558, 462, 468
561, 476, 447
480, 549, 543
567, 524, 520
446, 483, 572
573, 572, 483
483, 487, 573
579, 554, 459
582, 487, 530
530, 586, 582
588, 441, 476
586, 530, 498
498, 554, 586
459, 462, 579
558, 579, 462
468, 441, 605
468, 605, 558
543, 610, 447
610, 561, 447
615, 476, 561
615, 588, 476
621, 542, 446
542, 548, 452
627, 524, 629
567, 629, 524
549, 524, 627
548, 567, 520
572, 621, 446
573, 487, 582
588, 605, 441
542, 621, 650
548, 542, 653
654, 627, 629
567, 548, 659
660, 573, 582
582, 586, 660
586, 554, 668
669, 579, 558
669, 558, 605
554, 579, 677
615, 561, 680
650, 653, 542
610, 543, 686
687, 543, 549
690, 629, 567
687, 549, 627
627, 697, 687
699, 561, 610
621, 703, 650
654, 697, 627
653, 659, 548
703, 621, 572
572, 715, 703
717, 572, 573
573, 660, 717
586, 668, 660
677, 668, 554
579, 669, 677
605, 588, 734
605, 734, 669
588, 615, 740
588, 740, 734
699, 680, 561
680, 740, 615
699, 610, 686
659, 690, 567
686, 543, 687
715, 572, 717
654, 629, 764
690, 764, 629
768, 677, 669
669, 734, 768
774, 734, 740
740, 680, 774
653, 650, 782
659, 653, 785
786, 697, 654
789, 686, 687
792, 668, 677
660, 668, 792
798, 715, 717
717, 660, 798
764, 690, 806
768, 808, 677
734, 774, 768
680, 699, 815
680, 815, 774
699, 686, 821
687, 697, 824
687, 824, 827
808, 792, 677
690, 659, 833
785, 833, 659
827, 789, 687
650, 703, 842
843, 842, 703
703, 715, 848
798, 848, 715
792, 798, 660
786, 654, 764
858, 686, 789
782, 785, 653
833, 806, 690
786, 764, 869
824, 697, 786
869, 764, 875
806, 875, 764
843, 703, 848
782, 650, 842
858, 821, 686
821, 815, 699
785, 782, 893
894, 786, 869
875, 806, 899
900, 843, 848
848, 798, 900
906, 808, 768
768, 774, 906
815, 821, 914
915, 798, 792
906, 919, 808
858, 789, 923
858, 923, 914
927, 827, 824
927, 931, 827
806, 833, 935
936, 935, 833
833, 785, 936
942, 936, 785
894, 824, 786
931, 789, 827
785, 893, 942
954, 869, 875
935, 899, 806
960, 842, 843
843, 900, 960
966, 782, 842
798, 915, 900
906, 774, 815
815, 914, 906
919, 792, 808
919, 915, 792
821, 858, 914
966, 893, 782
927, 824, 894
931, 923, 789
954, 875, 998
899, 998, 875
894, 869, 954
1005, 842, 960
966, 842, 1005
1011, 960, 900
919, 906, 1016
1017, 906, 914
1020, 927, 894
998, 899, 1025
935, 936, 1028
936, 942, 1031
1032, 894, 954
1011, 1005, 960
1011, 966, 1005
900, 1042, 1011
1042, 900, 915
915, 919, 1042
1016, 1042, 919
906, 1017, 1016
1056, 931, 927
927, 1020, 1056
1062, 923, 931
1062, 1066, 923
1066, 1069, 923
1071, 954, 998
899, 1075, 1025
1075, 899, 935
936, 1031, 1028
942, 893, 1085
893, 966, 1088
1011, 1088, 966
914, 923, 1069
914, 1069, 1017
1056, 1062, 931
1020, 894, 1103
1103, 894, 1032
1032, 954, 1109
1071, 1109, 954
1028, 1075, 935
1071, 998, 1118
1025, 1118, 998
1085, 1031, 942
1085, 893, 1088
1128, 1011, 1042
1131, 1017, 1069
1109, 1071, 1136
1075, 1028, 1139
1118, 1025, 1142
1025, 1075, 1145
1146, 1085, 1088
1088, 1011, 1146
1152, 1069, 1066
1066, 1062, 1152
1158, 1042, 1016
1158, 1128, 1042
1016, 1017, 1131
1062, 1056, 1169
1062, 1169, 1152
1152, 1131, 1069
1056, 1020, 1178
1179, 1020, 1103
1103, 1032, 1184
1103, 1184, 1179
1184, 1032, 1109
1109, 1136, 1184
1194, 1071, 1118
1118, 1198, 1194
1118, 1142, 1198
1145, 1142, 1025
1139, 1145, 1075
1028, 1031, 1211
1128, 1213, 1011
1213, 1146, 1011
1031, 1085, 1220
1178, 1020, 1179
1169, 1056, 1178
1136, 1071, 1194
1139, 1028, 1211
1211, 1031, 1220
1220, 1085, 1238
1131, 1158, 1016
1238, 1085, 1146
1245, 1169, 1178
1245, 1152, 1169
1251, 1136, 1194
1254, 1213, 1128
1257, 1128, 1158
1158, 1131, 1257
1146, 1213, 1254
1266, 1184, 1136
1178, 1179, 1271
1178, 1271, 1245
1275, 1194, 1198
1179, 1184, 1280
1142, 1145, 1283
1284, 1283, 1145
1287, 1198, 1142
1145, 1139, 1284
1293, 1284, 1139
1293, 1139, 1211
1299, 1211, 1220
1299, 1220, 1238
1128, 1257, 1254
1131, 1152, 1257
1299, 1238, 1146
1146, 1254, 1299
1184, 1266, 1319
1245, 1257, 1152
1319, 1280, 1184
1280, 1271, 1179
1266, 1136, 1331
1251, 1331, 1136
1251, 1194, 1337
1275, 1337, 1194
1287, 1275, 1198
1287, 1142, 1283
1293, 1211, 1299
1257, 1245, 1352
1353, 1245, 1271
1356, 1266, 1331
1331, 1251, 1356
1362, 1251, 1337
1275, 1287, 1367
1283, 1284, 1370
1371, 1254, 1257
1257, 1375, 1371
1257, 1352, 1375
1245, 1353, 1352
1383, 1271, 1280
1383, 1353, 1271
1280, 1319, 1391
1392, 1319, 1266
1395, 1287, 1283
1283, 1370, 1395
1337, 1275, 1403
1337, 1403, 1406
1407, 1284, 1293
1407, 1370, 1284
1413, 1293, 1299
1299, 1417, 1413
1299, 1420, 1417
1371, 1299, 1254
1371, 1420, 1299
1428, 1337, 1406
1428, 1362, 1337
1403, 1275, 1436
1367, 1436, 1275
1362, 1356, 1251
1367, 1287, 1395
1407, 1293, 1448
1448, 1293, 1413
1383, 1280, 1454
1391, 1454, 1280
1392, 1459, 1319
1356, 1392, 1266
1459, 1391, 1319
1467, 1428, 1406
1470, 1403, 1436
1417, 1420, 1475
1476, 1420, 1371
1479, 1371, 1375
1482, 1353, 1383
1485, 1383, 1454
1488, 1467, 1406
1406, 1403, 1488
1470, 1488, 1403
1497, 1395, 1370
1497, 1501, 1395
1503, 1370, 1407
1503, 1497, 1370
1436, 1510, 1470
1436, 1367, 1514
1367, 1395, 1501
1518, 1407, 1448
1518, 1503, 1407
1524, 1475, 1420
1527, 1448, 1413
1530, 1413, 1417
1417, 1475, 1530
1371, 1479, 1476
1375, 1352, 1541
1375, 1541, 1479
1476, 1524, 1420
1548, 1352, 1353
1454, 1391, 1553
1454, 1553, 1485
1353, 1482, 1548
1459, 1392, 1562
1392, 1356, 1562
1566, 1562, 1356
1383, 1485, 1482
1572, 1391, 1459
1459, 1576, 1572
1356, 1362, 1566
1362, 1428, 1583
1467, 1583, 1428
1587, 1413, 1589
1587, 1591, 1413
1591, 1594, 1413
1596, 1413, 1598
1594, 1527, 1413
1527, 1603, 1448
1598, 1413, 1530
1603, 1518, 1448
1548, 1541, 1352
1589, 1413, 1596
1617, 1553, 1391
1562, 1621, 1459
1623, 1391, 1625
1623, 1627, 1391
1625, 1391, 1631
1572, 1631, 1391
1566, 1362, 1637
1637, 1362, 1640
1583, 1640, 1362
1617, 1391, 1627
1510, 1436, 1649
1514, 1649, 1436
1501, 1514, 1367
1621, 1576, 1459
1659, 1587, 1589
1594, 1591, 1664
1665, 1596, 1598
1527, 1594, 1664
1530, 1475, 1673
1674, 1479, 1541
1665, 1589, 1596
1680, 1485, 1553
1627, 1623, 1685
1686, 1625, 1631
1640, 1583, 1691
1583, 1467, 1694
1695, 1470, 1510
1698, 1510, 1649
1701, 1482, 1485
1704, 1475, 1524
1664, 1603, 1527
1591, 1587, 1664
1665, 1598, 1530
1475, 1704, 1673
1589, 1665, 1659
1722, 1524, 1476
1476, 1726, 1722
1541, 1548, 1730
1541, 1730, 1674
1485, 1680, 1701
1553, 1617, 1739
1686, 1623, 1625
1572, 1576, 1745
1746, 1745, 1576
1548, 1750, 1730
1548, 1482, 1754
1548, 1754, 1750
1758, 1704, 1524
1621, 1562, 1763
1686, 1631, 1572
1566, 1637, 1769
1770, 1637, 1640
